UHS/USD,Ursal Health_EQUITY_US
MHK/USD,Mohawk_EQUITY_US
EIX/USD,Edison_EQUITY_US
AIV/USD,AIMCO_EQUITY_US
AIP/USD,"Arteris, Inc._EQUITY_US"
NOK/RUB,NOK/RUB_CURRENCY_
AOX/EUR,Alstria Office Reit_EQUITY_DE
MOR/EUR,Morphosys_EQUITY_DE
AIG/USD,AIG_EQUITY_US
MIC/USD,Macquarie_EQUITY_US
HKD/TRY,HKD/TRY_CURRENCY_
ALO/EUR,Alstom_EQUITY_FR
ALM/EUR,Almirall_EQUITY_ES
EUR/ILS,EUR/ILS_CURRENCY_
AJG/USD,Arthur J Gallagher_EQUITY_US
ALVD/EUR,Allianz_EQUITY_DE
GBP/CZK,GBP/CZK_CURRENCY_
MMB/EUR,Lagardere_EQUITY_FR
MKR/USD,MKR/USD_CRYPTOCURRENCY_
MKC/USD,McCormick & Co_EQUITY_US
NOK/JPY,NOK/JPY_CURRENCY_
USD/ILS,USD/ILS_CURRENCY_
MLM/USD,Martin Marietta_EQUITY_US
ALL/USD,Allstate_EQUITY_US
ALK/USD,Alaska Air_EQUITY_US
ALB/USD,Albemarle_EQUITY_US
AMX/USD,"América Móvil, S.A.B. de C.V._EQUITY_US"
AMT/USD,American Tower_EQUITY_US
MMP/USD,MMP_EQUITY_US
AMP/USD,Ameriprise Financial_EQUITY_US
EMR/USD,Emerson Electric_EQUITY_US
PLN/TRY,PLN/TRY_CURRENCY_
AKE/EUR,Arkema_EQUITY_FR
MMM/USD,3M_EQUITY_US
YMM/USD,Full Truck Alliance Co. Ltd._EQUITY_US
EMN/USD,Eastman Chemical_EQUITY_US
AMH/USD,American Homes 4 Rent_EQUITY_US
AME/USD,AMTEK_EQUITY_US
AMD/USD,AMD_EQUITY_US
AMG/USD,Affiliated Managers_EQUITY_US
UMA/USD,UMA/USD_CRYPTOCURRENCY_
MMC/USD,Marsh_EQUITY_US
AMC/USD,AMC_EQUITY_US
ANT/USD,ANT/USD_CRYPTOCURRENCY_
UNP/USD,Union Pacific_EQUITY_US
UNM/USD,Unum_EQUITY_US
INO/USD,Inovio Pharmaceuticals_EQUITY_US
UNH/USD,Unitedhealth_EQUITY_US
MNK/USD,Mallinckrodt_EQUITY_US
ENJ/USD,ENJ/USD_CRYPTOCURRENCY_
ANF/USD,Abercrombie_EQUITY_US
ENB/USD,Enbridge_EQUITY_US
QIA/EUR,Qiagen_EQUITY_DE
MOS/USD,Mosaic_EQUITY_US
AOS/USD,Smith AO_EQUITY_US
AON/USD,Aon_EQUITY_US
MOH/USD,Molina Healthcare_EQUITY_US
AIRFR/EUR,Airbus_EQUITY_FR
EOG/USD,EOG_EQUITY_US
